areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2020-10-30,126
E40000003,London,nhsRegion,2020-10-29,140
E40000003,London,nhsRegion,2020-10-28,112
E40000003,London,nhsRegion,2020-10-27,109
E40000003,London,nhsRegion,2020-10-26,155
E40000003,London,nhsRegion,2020-10-25,118
E40000003,London,nhsRegion,2020-10-24,108
E40000003,London,nhsRegion,2020-10-23,125
E40000003,London,nhsRegion,2020-10-22,108
E40000003,London,nhsRegion,2020-10-21,114
E40000003,London,nhsRegion,2020-10-20,89
E40000003,London,nhsRegion,2020-10-19,90
E40000003,London,nhsRegion,2020-10-18,95
E40000003,London,nhsRegion,2020-10-17,87
E40000003,London,nhsRegion,2020-10-16,67
E40000003,London,nhsRegion,2020-10-15,78
E40000003,London,nhsRegion,2020-10-14,76
E40000003,London,nhsRegion,2020-10-13,73
E40000003,London,nhsRegion,2020-10-12,69
E40000003,London,nhsRegion,2020-10-11,50
E40000003,London,nhsRegion,2020-10-10,51
E40000003,London,nhsRegion,2020-10-09,55
E40000003,London,nhsRegion,2020-10-08,39
E40000003,London,nhsRegion,2020-10-07,46
E40000003,London,nhsRegion,2020-10-06,43
E40000003,London,nhsRegion,2020-10-05,47
E40000003,London,nhsRegion,2020-10-04,27
E40000003,London,nhsRegion,2020-10-03,38
E40000003,London,nhsRegion,2020-10-02,37
E40000003,London,nhsRegion,2020-10-01,50
E40000003,London,nhsRegion,2020-09-30,31
E40000003,London,nhsRegion,2020-09-29,36
E40000003,London,nhsRegion,2020-09-28,28
E40000003,London,nhsRegion,2020-09-27,23
E40000003,London,nhsRegion,2020-09-26,28
E40000003,London,nhsRegion,2020-09-25,36
E40000003,London,nhsRegion,2020-09-24,47
E40000003,London,nhsRegion,2020-09-23,36
E40000003,London,nhsRegion,2020-09-22,35
E40000003,London,nhsRegion,2020-09-21,44
E40000003,London,nhsRegion,2020-09-20,38
E40000003,London,nhsRegion,2020-09-19,32
