country,year,HFI,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year"
Romania,2014,,5.726893425,9.886694908,0.75294137,66.85708618,0.754235506,-0.106183335,0.95832473,0.654498339,0.330687732,0.243379444,0.238631472,0.152024388,2.362050772,0.412448883,,0.290928571,0.481471598
Romania,2016,,5.96887064,9.980818748,0.809229195,66.85708618,0.8217206,-0.121515714,0.949044526,0.694415331,0.257763505,0.181354657,0.391211659,0.179332837,2.199886322,0.368559897,,0.290928571,0.372027576
Russia,2008,,5.61875391,10.08605862,0.882316172,60.07109451,0.642778277,-0.320171237,0.924090385,0.59379828,0.165901884,0.557550251,-0.810181439,-0.705857635,2.136128426,0.380178332,0.416,0.39925,
Russia,2010,,5.384773254,10.047925,0.908814192,60.85963058,0.613159001,-0.311279774,0.936571956,0.58897537,0.171420962,0.51499486,-0.909215808,-0.669390619,1.980604172,0.367815703,0.395,0.39925,0.3483181
Russia,2012,,5.620735645,10.1217947,0.901295125,61.94788361,0.609104156,-0.307606727,0.937517941,0.611164153,0.173604488,0.452001721,-0.898265421,-0.654854059,2.080929756,0.370223731,0.407,0.39925,0.37669006
Russia,2014,,6.036976814,10.12182331,0.931755424,62.54149628,0.744332075,-0.279212117,0.869267285,0.687637925,0.151346922,0.640166044,-0.994013846,-0.53965503,2.033006191,0.336759001,0.399,0.39925,0.343749195
Russia,2016,,5.85494566,10.08689213,0.910927355,62.83301926,0.713606298,-0.194762796,0.925462723,0.636298656,0.142497227,0.584303796,-1.052689075,-0.572887778,2.090198994,0.356997162,,0.39925,0.365685463
Rwanda,2008,,4.362988949,7.132838249,0.485680968,51.18706512,0.752293468,0.024977062,0.286407232,0.64295435,0.220767915,0.92293489,-0.817912877,-0.254669011,1.54139173,0.353288025,,0.5055,
Rwanda,2012,,3.333047867,7.318346977,0.637147248,54.86077881,0.835491359,-0.005128154,0.081324898,0.702794313,0.132398143,,-0.754135847,0.034555562,1.542425513,0.462767273,,0.5055,0.61665076
Rwanda,2014,,3.595678329,7.387414455,0.748304188,55.94205856,0.894025266,-0.017352309,0.07800018,0.762844026,0.133609742,,-0.712715983,0.260128468,1.572011948,0.437194824,,0.5055,0.619382441
Rwanda,2016,,3.332989931,7.48085165,0.665130913,56.80096817,0.910736382,0.029825214,0.158601388,0.752310693,0.285384238,0.993604362,-0.632573783,0.244016424,1.895575166,0.568731129,,0.5055,0.602567494
Saudi Arabia,2008,,6.811370373,10.75104046,0.823053539,62.81171799,0.531811953,-0.046069123,0.507919014,0.709539413,0.201822907,,-1.033571839,0.024327608,1.34200716,0.197024554,,,
Saudi Arabia,2010,,6.307098389,10.72373486,0.87959832,63.03302002,0.677777231,-0.056675706,,0.64508909,0.297208935,,-1.007395387,0.087464184,2.22551012,0.352858007,,,0.361423135
Saudi Arabia,2012,,6.396359444,10.8129282,0.867100954,63.32237244,0.560455382,-0.144272059,,0.715217471,0.224840984,,-1.173164248,0.062096413,2.12539649,0.332282215,,,0.263032734
Saudi Arabia,2014,,6.27837801,10.81894684,0.818419814,63.62934875,0.762251675,-0.09751229,,0.705040038,0.312949479,,-1.083929062,0.105905496,2.549712896,0.406110138,,,0.69700861
Saudi Arabia,2016,,6.473921299,10.82890034,0.889932334,63.93227768,0.774267733,-0.157428324,,0.792998552,0.266292661,,-1.136798382,0.253979713,2.070084572,0.319757462,,,0.582817852
Senegal,2008,,4.683499813,7.680748463,0.756298721,53.8613472,0.61187619,-0.016854342,0.879247844,0.672880828,0.252161235,0.286527872,-0.180600435,-0.313931316,1.291440606,0.27574265,,0.402333333,
Senegal,2010,,4.372156143,7.688910961,0.76029408,55.07187271,0.777262628,-0.064366736,0.850534856,0.76881212,0.142737702,0.285449982,-0.342831403,-0.473749876,1.532973766,0.350621909,,0.402333333,0.409382224
Senegal,2012,,3.668736935,7.690368176,0.711077392,56.10480118,0.668252289,-0.022164073,0.851879895,0.770918489,0.213602841,0.645107508,-0.056255583,-0.272712827,1.70377624,0.464404047,,0.402333333,0.452468991
Senegal,2014,,4.394777298,7.704609871,0.855522096,56.94032288,0.692353189,-0.030413957,0.699660003,0.724697053,0.157226577,0.664995909,0.047028355,-0.162449926,1.37446034,0.312748581,,0.402333333,0.391568363
Senegal,2016,,4.59453392,7.774625301,0.838994384,57.63402557,0.743729651,-0.071341716,0.794353724,0.783817947,0.244851768,0.630876184,0.053708926,-0.206532046,1.815144658,0.395066112,,0.402333333,0.422206491
Serbia,2010,,4.461304188,9.448414803,0.725563347,64.4250412,0.462647259,-0.174968317,0.96547246,0.532202303,0.415409207,,-0.067637593,-0.184058115,2.00103879,0.448532254,0.296,0.3059,0.410795838
Serbia,2012,,5.154521942,9.464875221,0.819430411,64.85837555,0.460574687,-0.134579897,0.951667845,0.514332354,0.371236444,0.223251179,-0.009177983,-0.212817714,2.459745407,0.477201462,,0.3059,0.354289949
Serbia,2014,,5.112728596,9.481345177,0.782708704,65.2917099,0.531597257,0.068064809,0.911732435,0.497755259,0.326117814,0.447972029,0.198361039,-0.036461093,2.200608015,0.430417538,,0.3059,0.373830408
Serbia,2016,,5.752754688,9.526796341,0.894894958,65.55382538,0.614370823,-0.070948005,0.889765203,0.534827054,0.298126608,0.450123101,0.130402133,-0.070651695,2.436187744,0.423481941,,0.3059,0.349061996
Sierra Leone,2008,,2.997251034,7.053098679,0.590737224,39.35198975,0.716396332,0.160101399,0.924901426,0.533603728,0.369601429,0.687578261,-0.189853624,-1.007436395,1.688531399,0.563360035,,0.371,
Sierra Leone,2010,,4.133955956,7.104324341,0.811872959,40.8753891,0.726268828,0.022827111,0.910440624,0.513531804,0.290469229,0.651547968,-0.197247222,-0.915017068,2.572415829,0.622264922,,0.371,
Sierra Leone,2014,,4.499970436,7.433709621,0.868556499,43.19047165,0.681497633,0.04355019,0.786132097,0.570266843,0.334213495,0.587644756,-0.195366412,-0.977949619,2.774423599,0.616542637,,0.371,
Sierra Leone,2016,,4.732953072,7.221711159,0.656723499,43.98784256,0.681202114,0.117161058,0.863264859,0.583939135,0.456180692,0.70091027,-0.14390333,-0.932833195,3.527820349,0.745374024,,0.371,0.674809217
Singapore,2008,,6.641956806,11.09796429,0.845258594,73.97660828,0.660659015,0.027291948,0.065775275,0.720842063,0.256086707,0.908407509,0.505372524,2.039838314,1.534524441,0.231034994,,,
Singapore,2010,,6.531401634,11.18588448,0.864162147,74.66447449,0.846184611,-0.036895577,0.060282066,0.602475941,0.131343439,0.904517174,0.480224341,1.958239675,1.48147881,0.22682403,,,0.436413288
Singapore,2014,,7.062364578,11.29359245,0.822033048,75.53770447,0.834887624,0.135153309,0.132603154,0.841017604,0.180232763,0.843872547,0.543806016,2.078053713,1.428702831,0.20229809,,,0.509949625
Singapore,2016,,6.033480644,11.30766296,0.925128222,75.72083282,0.903735638,0.125497803,0.047311153,0.823988736,0.110942468,0.930617273,0.622577965,2.072999477,1.302087903,0.215810403,,,0.428276867
Slovakia,2010,,6.052223206,10.13297367,0.919640005,66.21733093,0.635757685,-0.116859503,0.907136023,0.666457951,0.277206749,0.308679521,0.982111931,0.676018119,1.881704569,0.310911298,0.273,0.267454545,0.276067674
Slovakia,2012,,5.91105938,10.17421913,0.925751448,67.09675598,0.620004296,-0.043799434,0.906532168,0.656188428,0.302260816,0.368380159,1.030708909,0.618074775,2.02477622,0.342540324,0.261,0.267454545,0.306337535
Slovakia,2014,,6.1388731,10.21410275,0.924242675,67.71601105,0.634791732,-0.142205775,0.913870215,0.703484714,0.266784608,0.310181499,0.999353647,0.606194675,1.883698821,0.306847662,0.261,0.267454545,0.287741184
Slovakia,2016,,5.993163109,10.28273392,0.945179105,68.42127228,0.700098515,-0.077814296,0.916609168,0.774416089,0.232091576,0.372222155,0.782842278,0.677511692,1.916009426,0.319699198,,0.267454545,0.282240212
Slovenia,2010,,6.082555294,10.26389885,0.917203367,69.49420929,0.895522416,0.021303374,0.844790697,0.67081368,0.295366138,0.331916302,0.957573533,0.9297418,2.168138504,0.356451929,0.249,0.249090909,0.367663682
Slovenia,2012,,6.062891006,10.23913479,0.924753785,70.10884094,0.904386282,-0.027284415,0.890754104,0.656376362,0.283989847,0.238065988,0.96744442,0.879258931,2.095799685,0.345676631,0.256,0.249090909,0.33938545
