ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
CMR,Cameroon,2018,5.46,3603.55,25216261,4.06248684,3.488800919,3.28
CAN,Canada,2008,8.66,45851.63,37065178,,,9.15
CAN,Canada,2010,8.62,44861.52396,37065178,,,9.15
CAN,Canada,2012,8.56,46126.51389,37065178,,,9.15
CAN,Canada,2014,8.61,47564.60911,37065178,,,9.15
CAN,Canada,2016,8.64,47457.58535,37065178,,,9.15
CAN,Canada,2018,8.64,48796.81,37065178,2.429547545,1.007622695,9.15
CPV,Cape Verde,2008,N,6341.2,543764,,,7.88
CPV,Cape Verde,2010,7.4,6200.343537,543764,,,7.88
CPV,Cape Verde,2012,7.6,6353.707704,543764,,,7.88
CPV,Cape Verde,2014,6.73,6281.793971,543764,,,7.88
CPV,Cape Verde,2016,7.77,6482.72155,543764,,,7.88
CPV,Cape Verde,2018,7.75,6864.19,543764,4.531161684,6.650520523,7.88
CAF,Central African Republic,2008,5.71,1085.44,4666375,,,1.52
CAF,Central African Republic,2010,5.47,1201.352197,4666375,,,1.52
CAF,Central African Republic,2012,5.14,1300.28881,4666375,,,1.52
CAF,Central African Republic,2014,4.87,822.6111949,4666375,,,1.52
CAF,Central African Republic,2016,5.25,884.4951965,4666375,,,1.52
CAF,Central African Republic,2018,5.25,933.11,4666375,3.789443593,2.054130962,1.52
TCD,Chad,2008,5.42,1564.79,15477727,,,1.61
TCD,Chad,2010,5.64,1732.691584,15477727,,,1.61
TCD,Chad,2012,5.13,1765.194984,15477727,,,1.61
TCD,Chad,2014,5.28,1866.266079,15477727,,,1.61
TCD,Chad,2016,5.07,1687.053569,15477727,,,1.61
TCD,Chad,2018,5.59,1576.32,15477727,2.3740378,3.052691532,1.61
CHL,Chile,2008,8.2,20840.4,18729166,,,7.97
CHL,Chile,2010,8.12,21262.46699,18729166,,,7.97
CHL,Chile,2012,8.07,23300.4423,18729166,,,7.97
CHL,Chile,2014,8.08,24173.06494,18729166,,,7.97
CHL,Chile,2016,8.03,24531.35774,18729166,,,7.97
CHL,Chile,2018,8.18,25028.91,18729166,3.713859177,3.529530553,7.97
CHN,China,2008,6.04,7412.87,1392730000,,,3.32
CHN,China,2010,5.59,8884.588031,1392730000,,,3.32
CHN,China,2012,5.76,10397.56142,1392730000,,,3.32
CHN,China,2014,5.63,11917.3385,1392730000,,,3.32
CHN,China,2016,5.98,13487.82248,1392730000,,,3.32
CHN,China,2018,6.07,15242.99,1392730000,6.749773832,9.65067892,3.32
COL,Colombia,2008,6.86,11393.2,49661056,,,6.96
COL,Colombia,2010,6.72,11783.29991,49661056,,,6.96
COL,Colombia,2012,6.23,12852.6257,49661056,,,6.96
COL,Colombia,2014,6.41,13852.24205,49661056,,,6.96
COL,Colombia,2016,6.84,14194.51566,49661056,,,6.96
COL,Colombia,2018,6.85,14314.86,49661056,2.564324283,3.283446186,6.96
